cd_geocmu,nome
3502705,apiaí
3505351,barra do chapéu
3505401,barra do turvo
3522653,itapirapuã paulista
3514809,eldorado
3523305,itariri
3526100,juquiá
3526209,juquitiba
4100202,adrianópolis
3553500,tapiraí
4103107,bocaiúva do sul
4111258,itaperuçu
3509254,cajati
3509908,cananéia
3551801,sete barras
3536208,pariquera-açu
3520301,iguape
3520426,ilha comprida
3521200,iporanga
3522158,itaóca
3542602,registro
3542800,ribeira
3524600,jacupiranga
3529906,miracatu
3537206,pedro de toledo
3549953,são lourenço da serra
4105201,cerro azul
4122206,rio branco do sul
4127882,tunas do paraná
4128633,doutor ulysses
